blur_score,max_object_ratio,clutter_ratio,category,file_name
860.15,0.7274,0.7678,Good_Shoes,good_01.jpg
1224.75,0.4115,0.3764,Good_Shoes,good_02.jpg
14524.25,0.4613,0.4148,Good_Shoes,good_03.jpg
192.58,0.0,0.0,Good_Shoes,good_04.jpg
3797.26,0.5335,0.0,Good_Shoes,good_05.jpg
483.46,0.0,0.0,Good_Shoes,good_06.jpg
136.61,0.0,0.0,Good_Shoes,good_07.jpg
973.51,0.2012,0.0,Good_Shoes,good_08.jpg
1953.14,0.0,0.0,Good_Shoes,good_09.jpg
782.11,0.0,0.0,Good_Shoes,good_10.jpg
677.69,0.0,0.0,Good_Shoes,good_11.jpg
1937.34,0.9282,0.0,Good_Shoes,good_12.jpg
1599.48,0.0,0.0,Good_Shoes,good_13.jpg
418.32,0.245,0.445,Good_Shoes,good_14.jpg
285.79,0.2851,0.276,Good_Shoes,good_15.jpg
429.57,0.0,0.0,Good_Shoes,good_16.jpg
291.47,0.0,0.0,Good_Shoes,good_17.jpg
1483.02,0.8849,0.0,Good_Shoes,good_18.jpg
1788.93,0.0,0.0,Good_Shoes,good_19.jpg
1126.53,0.1827,0.1786,Good_Shoes,good_20.jpg
1.83,0.457,0.0,Blurry_Shoes,blurry_!3.png
6.71,0.0,0.0,Blurry_Shoes,blurry_01.jpg
16.87,0.6117,0.0,Blurry_Shoes,blurry_02.jpg
33.06,0.6936,0.0,Blurry_Shoes,blurry_03.jpg
852.11,0.0,0.0,Blurry_Shoes,blurry_04.png
910.89,0.757,0.0,Blurry_Shoes,blurry_05.png
4.87,0.0,0.0,Blurry_Shoes,blurry_06.png
114.94,0.134,0.0,Blurry_Shoes,blurry_07.jpg
2.45,0.5538,0.3781,Blurry_Shoes,blurry_08.png
12.52,0.0,0.0,Blurry_Shoes,blurry_09.png
12.54,0.5885,0.0,Blurry_Shoes,blurry_10.jpg
13.97,0.3074,0.2968,Blurry_Shoes,blurry_11.png
2.63,0.0,0.0,Blurry_Shoes,blurry_12.png
19.85,0.0,0.0,Blurry_Shoes,blurry_14.png
2.91,0.0,0.0,Blurry_Shoes,blurry_15.png
1580.0,0.3058,0.0,Bad_Angles,bad_angle_01.png
1563.45,0.289,0.1669,Bad_Angles,bad_angle_02.jpg
828.96,0.8973,0.6779,Bad_Angles,bad_angle_03.jpg
294.69,0.0238,0.0,Bad_Angles,bad_angle_04.jpg
260.86,0.2697,0.1514,Bad_Angles,bad_angle_05.jpg
787.11,0.5172,0.4342,Bad_Angles,bad_angle_06.jpg
694.34,0.5289,0.2266,Bad_Angles,bad_angle_07.jpg
1490.16,0.5289,0.0,Bad_Angles,bad_angle_08.png
1375.69,0.564,0.0,Bad_Angles,bad_angle_09.jpg
1652.77,0.6308,0.0165,Bad_Angles,bad_angle_10.jpg
1519.3,0.6158,0.0301,Bad_Angles,bad_angle_11.jpg
1881.88,0.2564,0.0,Bad_Angles,bad_angle_12.jpg
851.52,0.3976,0.8237,Bad_Angles,bad_angle_13.jpg
279.34,0.4086,0.0,Bad_Angles,bad_angle_14.jpg
576.75,0.4937,0.0,Bad_Angles,bad_angle_15.jpg
